Countries,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Grenada,36182,82,41,30,18,657,18,88,117,115,3996,836,134,0,94,250,66,20,108,22,0,864,486,46,11,24,43,0,134,37,0,1340,0,23073,837,8,101,50,14,871,0,183,0,99,834,0,0,373,58,0,4,0
Haiti,680871,864,325,1547,264,4941,1000,12934,3921,377,333343,14212,389,229,4098,3086,695,838,1355,1899,224,9088,59839,1595,1095,267,1101,137,222,785,722,50325,183,127027,5123,179,1934,254,477,15633,3371,978,91,1475,4762,252,175,4413,2202,21,598,6
Jamaica,786044,1421,241,2600,129,16160,2432,40647,3694,2661,226496,48244,408,59,8391,1890,355,409,1167,1369,687,27946,20366,4293,919,891,2143,37,241,1848,863,47886,392,234051,10829,327,4177,977,892,23307,1031,6690,163,2088,17652,438,432,11126,2353,603,1613,10
St. Vincent and the Grenadines,23936,29,1,0,16,334,46,312,91,109,2795,642,0,0,66,80,0,0,43,9,11,585,339,50,11,0,28,5,0,0,2,1235,10,14887,254,0,77,39,0,791,0,8,0,31,411,0,0,504,53,7,25,0
Trinidad and Tobago,231139,541,73,1071,424,5414,350,2854,1508,1263,44021,7756,346,31,1300,475,43,85,360,1620,54,11886,6281,1295,869,128,657,9,48,619,136,14900,81,92468,3474,2,1274,351,582,7509,432,1131,0,1090,9598,153,34,4718,1450,120,255,0
West Indies,21775,110,49,76,0,927,49,812,31,139,2508,981,15,18,178,81,24,6,82,121,0,561,781,120,18,33,9,0,6,212,0,769,82,9409,408,0,188,0,27,933,4,104,0,77,887,9,0,849,75,0,7,0
Belize,45520,31,29,338,130,15423,163,370,1,50,3898,875,57,11,4223,221,15,59,144,905,0,360,161,130,293,118,206,64,124,969,19,950,29,7160,492,31,116,134,291,584,21,282,31,544,4269,111,0,456,447,3,142,40
Costa Rica,95243,228,2,1475,408,12792,902,2247,217,389,16455,2994,30,307,1356,454,176,237,265,774,77,2704,2078,973,655,178,640,76,255,1194,113,14752,227,7808,3180,7,1385,235,792,3238,46,1406,13,775,6150,448,2,2057,1248,150,638,35
El Salvador,1395958,2730,528,10243,16521,441945,11350,6043,1196,10983,45997,27400,255,1056,10778,8508,4348,4314,1348,4630,363,110765,45054,3560,6729,589,3712,6,5576,25609,1074,46645,1421,109711,32354,123,8059,4097,4134,7367,2604,2974,1402,10322,218319,7704,94,109727,13592,758,1197,144
Guatemala,1015942,14427,260,14614,4422,284612,8004,16737,4853,2165,91934,38066,923,1462,24163,6919,5373,7162,6690,5735,255,41705,30492,6729,7264,3106,5975,104,9926,14651,501,44123,2026,60900,21595,146,9048,9494,6961,13589,16948,9105,2198,18780,82415,5995,187,36458,13344,404,2583,414
Honduras,684003,3707,189,3217,1486,64404,4758,7079,915,1481,104918,21324,239,515,11372,5040,1923,2777,4658,35935,127,22022,12865,2804,3843,2951,5032,42,2172,4623,973,35779,1252,54122,36770,115,5271,4405,1251,8464,770,12012,305,14573,135156,2655,15,29863,5274,400,2149,11
Mexico,10850260,47147,3861,495043,60059,3925037,211497,27344,14891,3869,261784,227166,5050,53285,628339,100958,41503,82123,29604,24731,823,34145,12895,77407,57982,19344,39975,2261,48302,217402,2003,103827,128873,213439,217920,2774,44157,102611,139767,54780,3444,61249,3628,88254,2434661,100215,620,56820,240241,1932,87239,7979
Nicaragua,248138,422,106,2556,389,59032,1033,1993,95,636,102009,3961,161,101,1807,1399,356,507,206,3749,88,6289,1062,525,978,309,633,88,297,3811,114,4805,465,9547,4395,76,901,595,764,2227,154,1011,88,679,17074,744,17,6306,1345,9,2209,15
Panama,105684,1078,125,1177,374,10074,982,634,372,494,22104,5928,170,107,2041,897,324,481,665,1063,48,2506,1284,819,532,245,647,103,183,1362,79,3823,271,18447,3071,187,1220,507,532,2059,393,1269,93,922,9908,331,27,3890,1194,125,512,5
Argentina,196841,161,149,1906,296,34885,2866,3301,547,966,56250,3477,274,398,4160,799,231,349,673,415,388,4141,3706,1305,1203,65,670,109,228,2702,108,10750,576,21415,3394,3,1498,675,682,4084,184,1457,36,1271,12124,3479,93,4426,2353,133,1449,31
Bolivia,78808,46,14,546,171,9018,453,632,58,236,10974,827,28,13,1937,187,24,123,152,356,8,7044,1277,174,259,170,256,0,55,499,9,3023,245,5487,448,3,116,150,245,1102,1278,716,23,206,3627,960,44,24639,615,34,297,4
Brazil,514496,1753,428,3166,1273,50271,5068,21332,635,1423,115132,17578,1310,817,8528,2411,1279,1659,1072,2965,433,10807,85592,7306,2957,471,2137,253,771,3688,2772,42724,494,29640,7958,164,4257,1179,2327,12338,2333,4735,82,2209,23097,7369,295,7387,8194,210,2175,42
Chile,104388,468,6,1550,353,15593,1991,2289,487,553,21947,1763,358,308,1992,526,209,124,292,248,131,2512,2475,964,436,57,465,51,317,1173,69,7620,395,12397,2207,92,877,111,840,2309,144,516,69,688,6638,2926,31,3510,2392,138,706,75
Colombia,833554,1772,595,5656,779,51440,4941,17949,1143,2737,292637,22590,579,982,15002,3016,1170,906,1651,2053,197,12706,24823,3707,3688,967,2787,279,1289,4762,1475,90639,1491,109277,17464,684,4402,1812,1712,13935,6171,10943,142,3640,58546,5190,207,13979,5269,264,3307,202
Ecuador,462202,472,259,1514,293,21385,1579,21460,443,356,52760,3664,223,328,17108,773,301,582,261,1123,284,5337,10645,901,7775,210,523,80,84,1287,159,90250,472,176084,6650,94,1664,375,517,9090,709,2700,95,934,10343,2190,77,5119,1715,165,677,113
Guyana,280822,191,73,815,85,4572,350,4959,705,478,32442,10518,77,26,1071,321,166,58,232,519,29,8408,1694,488,3705,69,122,74,0,183,22,24657,81,168177,2064,0,1173,131,17,4450,97,690,0,530,2936,70,20,2387,541,191,158,0
Peru,462230,934,407,4109,482,73565,4849,14621,549,1547,94512,8016,274,1371,8642,1937,530,789,1149,1047,590,17659,7154,1255,1895,479,1292,203,564,5184,656,60376,826,54529,6610,224,3670,1414,2607,6169,651,1544,104,2222,22937,7120,207,27659,4997,249,1451,403
Uruguay,51525,91,16,251,0,4378,332,1066,20,490,14720,2244,83,10,700,118,170,77,10,129,10,803,2141,233,485,46,141,57,23,659,150,7598,39,4783,869,25,353,20,279,950,19,541,0,148,2950,626,127,1384,641,36,484,0
Venezuela,457958,1755,275,2613,470,15343,3726,3486,397,979,235181,15946,559,517,7261,5871,407,1187,1251,1575,129,4045,5727,1686,1940,329,1466,99,846,2323,150,12466,313,17311,8542,4,3393,2811,1413,4083,633,3147,19,4657,62285,6642,183,7222,2792,196,2049,258
Canada,818916,3495,2811,40395,2290,128174,14845,12749,1268,2081,109848,18055,4931,5295,19521,7645,2752,3080,4372,2919,9517,8742,28434,35451,11679,1403,4884,3305,2035,11135,7966,16996,2352,58625,18157,2836,15008,4642,14734,16838,2325,8141,1101,9094,53912,8768,5080,13111,46899,1203,6709,1308
