Countries,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Philippines,1986609,4769,18867,29693,3811,827803,11901,9864,3298,1678,82375,19902,117665,2430,92717,12211,4489,5430,6087,6115,1636,37190,11501,19402,9822,3757,10507,1938,2847,91562,2517,85305,6138,89483,20347,2110,17493,5308,14561,21093,2518,10823,1701,11207,100810,6677,778,51958,72831,1841,8883,960
Singapore,35722,288,13,776,118,10649,660,336,52,218,1316,885,461,402,1206,461,98,140,249,236,24,656,1098,576,154,53,54,6,19,605,16,1328,43,4094,587,15,416,36,603,666,105,103,27,82,2822,409,11,657,1669,30,194,0
Thailand,255891,1363,2488,3875,1043,66259,3856,1396,314,196,11861,4779,3031,677,7755,4914,3607,1791,2037,1253,573,3927,5260,3252,20509,732,2468,197,3092,5523,702,3039,696,13700,5643,254,3009,2336,3773,4033,860,1879,864,3149,14340,2263,250,7336,9611,118,9840,168
Vietnam,1347339,7021,773,19179,4344,512001,17523,6705,1599,1978,59668,43586,9683,1222,23248,6344,7886,10494,3456,18550,1302,18093,38369,12544,17453,4182,10723,596,5454,11489,1963,15703,4151,25535,24831,595,10828,13587,22665,31872,1177,6821,319,9117,184721,7434,326,43713,61030,865,4398,223
Armenia,95130,17,1,411,0,78091,490,122,6,150,569,143,17,9,776,45,41,9,1,0,34,329,2290,431,40,0,48,20,17,2196,75,694,22,2388,168,0,380,72,260,738,202,35,2,28,943,443,14,800,1390,0,173,0
Iraq,235111,149,6,9209,277,41969,2878,728,0,215,5312,3542,33,1249,13783,382,1504,924,2526,396,780,1532,4599,57436,2096,22,3223,57,3155,1261,473,1635,530,6448,2405,258,3334,766,2720,2336,315,1032,346,8432,27197,1793,159,8834,5217,71,1567,0
Israel,140559,226,10,1643,105,33744,1427,1311,115,405,14920,3101,291,107,4525,515,136,87,249,902,134,3430,5355,2135,501,146,608,46,134,2901,232,9796,150,30319,1027,3,2498,380,1788,3688,165,855,29,643,4865,175,134,1372,2667,94,470,0
Jordan,87215,215,4,1337,507,16215,792,609,55,43,4522,1300,16,51,8818,1586,436,798,1119,1259,17,1037,1166,5610,740,417,1345,0,323,323,245,4675,355,6287,2313,45,4281,285,587,2072,169,238,14,924,8249,177,24,2717,1581,43,1261,13
Kuwait,33670,358,19,1256,43,6253,550,111,34,46,2010,785,0,87,1781,481,87,382,163,492,4,698,1165,1427,545,40,436,123,58,19,66,1305,519,1681,730,0,1105,463,341,628,34,222,0,336,4134,230,0,967,629,466,361,0
Lebanon,132520,364,11,1784,124,32512,852,1177,206,269,8338,1633,43,185,3132,603,764,615,264,650,0,1374,7409,25060,961,42,379,79,71,1110,631,4536,324,8123,2085,40,3627,297,839,2045,771,342,94,1111,9292,236,21,5441,2168,207,279,0
Saudi Arabia,68915,169,0,1360,509,7883,879,932,128,173,4205,1070,32,229,3969,1418,488,540,641,476,63,1300,1698,3386,1151,214,1080,294,641,441,54,1733,211,3294,1026,113,4077,817,638,2748,170,101,7,1047,9427,418,0,3598,2303,409,1313,42
Syria,105842,175,103,1957,147,29748,414,1088,8,196,6823,1571,0,131,7490,1036,105,364,214,500,211,2092,2970,5837,640,173,1401,0,248,725,267,5509,111,8160,1394,228,4074,518,794,5345,784,308,23,382,6708,255,2,2230,1511,513,359,0
Turkey,132932,492,135,1365,163,19403,1192,1919,1061,311,10404,3368,238,44,4468,741,180,291,177,548,159,3827,4972,1582,971,83,995,121,166,704,310,16500,294,20678,2747,81,1988,402,996,4996,496,645,44,1048,9368,301,205,7400,3212,107,979,55
Yemen,60865,238,0,151,283,9812,93,389,445,0,522,155,3,25,2069,627,28,36,3,945,0,471,337,20269,606,842,69,0,0,83,13,599,0,16247,1768,62,175,25,92,33,0,136,0,1040,571,25,0,944,351,47,183,53
Eritrea,50569,116,0,1664,0,7032,2024,75,110,259,761,2910,32,54,982,984,898,340,78,9,37,2532,681,654,2915,62,943,0,10,1210,0,367,28,1028,1570,43,2233,269,497,551,26,41,1127,195,6491,237,0,3196,4932,0,366,0
Ethiopia,266439,437,232,3404,71,24444,10690,1011,208,5539,2419,15931,17,213,4285,2109,1637,2003,1122,704,215,28119,5588,2121,24808,284,2303,142,1073,10019,353,2462,178,6008,4193,120,7954,707,3554,4550,91,605,2441,4721,25675,623,35,30977,18680,165,1196,3
Kenya,150926,1571,48,3083,120,11710,2564,640,1898,470,3388,7303,111,49,2340,2812,1026,3012,1040,451,447,7296,7904,1842,14660,75,4279,1,904,640,370,6669,229,4444,4382,1259,4573,1316,1446,4601,99,1189,186,831,21363,359,93,3661,11404,58,679,31
Somalia,99941,0,128,1548,0,3004,1619,63,0,36,202,1149,0,286,751,250,718,513,1715,25,1471,493,1670,1316,37966,27,1903,0,2120,189,181,92,0,3207,972,1714,11728,49,1436,807,0,51,421,2441,3686,1190,223,2903,8358,16,1304,0
